Polar Angle,Gain
179.92,-2.75
174.87,-3.79
169.79,-5.52
164.97,-8.43
159.89,-12.82
154.96,-11.34
149.81,-6.42
144.79,-3.21
139.96,-1.13
134.82,0.2
129.9,1
124.92,1.26
119.9,1.47
114.92,1.54
109.98,1.63
104.91,1.85
99.81,1.87
94.9,1.79
89.9,1.25
84.95,-0.06
79.99,-2.32
74.93,-6.19
69.97,-11.96
64.83,-10.73
59.98,-5.04
54.99,-1.73
49.87,0.35
44.94,1.5
39.9,2.06
34.9,2.25
29.75,2.13
24.79,1.81
19.84,1.15
14.88,0.59
9.91,-0.15
4.96,-1.34
-0.1,-2.94
-5.06,-5.84
-10,-10.49
-15.21,-23.42
-20.1,-12.96
-25.18,-6.45
-30.15,-3.2
-35.09,-1.38
-40.15,-0.42
-45,-0.15
-50.03,-0.52
-55.1,-1.18
-60.2,-1.72
-65.14,-1.65
-70.1,-1.11
-75.05,-0.07
-80.02,0.91
-85.07,1.45
-90.09,1.51
-95.01,0.93
-100.11,-0.28
-105.09,-2.54
-110.11,-6.17
-115.09,-11.62
-120.06,-11.1
-125.07,-6.31
-130.01,-3.12
-135,-1.23
-140.19,-0.08
-145.12,0.45
-150.08,0.55
-155.05,0.26
-160.08,-0.21
-165.07,-0.63
-170.02,-1.35
-175.19,-1.95
-180.07,-2.58
